"question_titles","MP"
"Proposal for Granting Upfront Remission of Additional Buyer’s Stamp Duty to Married Couples with at least One Singapore Citizen Spouse Purchasing Replacement Private Residential Property","Louis Chua"
"Steps to Reduce Carbon Footprint of Data Centres in Singapore","Louis Chua"
"Measures to Help Singaporeans Cope with Rising Inflation and Impact of Government's Fiscal Support for Businesses and Households on Inflation","Louis Chua"
"Allowing Singles to Purchase New or Resale Flats under HDB's Prime Location Public Housing Scheme","Louis Chua"
"Government's Purchase Agreements for New COVID-19 Anti-viral Drugs","Louis Chua"
"Vaccination for Primary School Students and Possibility of Vaccination-differentiated Measures for Preschools and Primary Schools","Louis Chua"
"Update on COVID-19 Treatments, Vaccination Efficacy and Roll-out for Children and Booster Jabs","Louis Chua"
"Government's Response to Current Pace of Increase in HDB Resale Prices","Louis Chua"
"COVID-19's Impact on Integrated Resorts' Investment Commitments in Singapore and on Impending Casino Tax Regime","Louis Chua"
"Bulk Purchase Programme to Allow Households to Purchase Antigen Rapid Test Kits More Competitive Price","Louis Chua"
"Updated Protocols for COVID-19 Patients, Vaccination for Children and Delays in Response Time by Government COVID-19 Teams","Louis Chua"
"Annual Revenue, Profit before Tax, Chargeable Income and Effective Tax Rate of Multinational Enterprises in Singapore in Last 10 Years","Louis Chua"
"Take-up Rates for Digitalisation, Productivity and Succession Schemes for Hawkers in Past Three Years","Louis Chua"
"Replacement of Stolen NRICs at Nominal Fee","Louis Chua"
"Data on Consumer Price Index Changes by Income Groups","Louis Chua"
"Possible Fare Adjustments from Review of Public Transport Fares for 2022","Louis Chua"
"Singapore's Considerations when Pursuing Vaccinated Travel Lanes with Other Countries","Louis Chua"
"Breakdown of Revenues, Profits and Effective Tax Rates of SMEs in Last 10 Years","Louis Chua"
"Government’s Method of Assessing and Reporting Average Effective Corporate Tax Rates for Singapore Companies","Louis Chua"
"Frequency of Government's Periodic Facade Inspection","Louis Chua"
"Frequency of Government's Periodic Facade Inspection","Louis Chua"
"Addressing Demand by Households for Migrant Domestic Workers After Delays Caused by COVID-19 Travel Restrictions","Louis Chua"
"Review of Primary 1 Registration Process","Louis Chua"
